Step, Total affected keys, Relinearize keys, Relinearize affected keys, New factors affected keys, Depth
2, 3, 0, 0, 3, 2
3, 2, 0, 0, 2, 1
4, 2, 0, 0, 2, 1
5, 2, 0, 0, 2, 1
6, 2, 0, 0, 2, 1
7, 2, 0, 0, 2, 1
8, 2, 0, 0, 2, 1
9, 2, 0, 0, 2, 1
10, 2, 0, 0, 2, 1
11, 2, 0, 0, 2, 1
12, 2, 0, 0, 2, 1
13, 2, 0, 0, 2, 1
14, 2, 0, 0, 2, 1
15, 2, 0, 0, 2, 1
16, 2, 0, 0, 2, 1
17, 2, 0, 0, 2, 1
18, 2, 0, 0, 2, 1
19, 2, 0, 0, 2, 1
20, 2, 0, 0, 2, 1
21, 2, 0, 0, 2, 1
22, 2, 0, 0, 2, 1
23, 2, 0, 0, 2, 1
24, 2, 0, 0, 2, 1
25, 2, 0, 0, 2, 1
26, 2, 0, 0, 2, 1
27, 2, 0, 0, 2, 1
28, 2, 0, 0, 2, 1
29, 2, 0, 0, 2, 1
30, 2, 0, 0, 2, 1
31, 2, 0, 0, 2, 1
32, 2, 0, 0, 2, 1
33, 2, 0, 0, 2, 1
34, 2, 0, 0, 2, 1
35, 2, 0, 0, 2, 1
36, 2, 0, 0, 2, 1
37, 2, 0, 0, 2, 1
38, 2, 0, 0, 2, 1
39, 2, 0, 0, 2, 1
40, 2, 0, 0, 2, 1
41, 2, 0, 0, 2, 1
42, 2, 0, 0, 2, 1
43, 2, 0, 0, 2, 1
44, 2, 0, 0, 2, 1
45, 2, 0, 0, 2, 1
46, 2, 0, 0, 2, 1
47, 2, 0, 0, 2, 1
48, 2, 0, 0, 2, 1
49, 2, 0, 0, 2, 1
50, 3, 0, 0, 3, 50
51, 37, 33, 35, 3, 50
52, 48, 43, 46, 3, 50
53, 54, 51, 53, 3, 50
54, 33, 26, 31, 3, 50
55, 28, 20, 26, 3, 50
56, 46, 42, 45, 3, 50
57, 41, 35, 40, 3, 50
58, 32, 23, 31, 3, 50
59, 32, 25, 31, 3, 50
60, 10, 3, 8, 3, 50
61, 3, 0, 0, 3, 50
62, 40, 34, 39, 3, 50
63, 39, 32, 38, 3, 50
64, 34, 28, 33, 3, 50
65, 40, 31, 39, 3, 50
66, 5, 1, 3, 3, 50
67, 29, 22, 27, 3, 50
68, 40, 32, 39, 3, 50
69, 31, 23, 29, 3, 50
70, 3, 0, 0, 3, 50
71, 14, 5, 13, 3, 50
72, 41, 22, 40, 3, 50
73, 22, 8, 20, 3, 50
74, 19, 7, 18, 3, 50
75, 45, 35, 44, 3, 50
76, 32, 17, 31, 3, 50
77, 26, 14, 25, 3, 50
78, 43, 22, 42, 3, 50
79, 58, 47, 57, 3, 50
80, 56, 41, 55, 3, 50
81, 66, 52, 65, 3, 50
82, 52, 42, 51, 3, 50
83, 66, 45, 65, 3, 50
84, 58, 46, 57, 3, 50
85, 30, 13, 28, 3, 50
86, 34, 14, 31, 3, 50
87, 30, 23, 29, 3, 50
88, 19, 4, 16, 3, 50
89, 19, 11, 18, 3, 50
90, 38, 16, 36, 3, 50
91, 40, 17, 39, 3, 50
92, 32, 17, 31, 3, 50
93, 60, 37, 59, 3, 50
94, 36, 12, 34, 3, 50
95, 39, 29, 38, 3, 50
96, 76, 63, 75, 3, 50
97, 29, 11, 28, 3, 50
98, 69, 49, 68, 3, 50
99, 82, 73, 81, 3, 50
100, 60, 36, 59, 3, 50
101, 87, 73, 85, 3, 50
102, 79, 55, 77, 3, 50
103, 90, 62, 89, 3, 50
104, 62, 34, 59, 3, 50
105, 60, 24, 57, 3, 50
106, 51, 39, 48, 3, 50
107, 39, 20, 37, 3, 50
108, 36, 20, 34, 3, 50
109, 72, 54, 71, 3, 50
110, 82, 71, 81, 3, 50
111, 68, 61, 67, 3, 50
112, 69, 40, 68, 3, 50
113, 53, 29, 52, 3, 50
114, 52, 23, 50, 3, 50
115, 57, 47, 56, 3, 50
116, 69, 50, 68, 3, 50
