Step, Total affected keys, Total marked keys, Relinearize keys, Relinearize affected keys, New factors affected keys, Depth
2, 3, 3, 0, 0, 3, 2
3, 2, 2, 0, 0, 2, 1
4, 3, 2, 0, 0, 2, 1
5, 2, 2, 0, 0, 2, 1
6, 2, 2, 0, 0, 2, 1
7, 2, 2, 0, 0, 2, 1
8, 2, 2, 0, 0, 2, 1
9, 2, 2, 0, 0, 2, 1
10, 2, 2, 0, 0, 2, 1
11, 2, 2, 0, 0, 2, 1
12, 2, 2, 0, 0, 2, 1
13, 2, 2, 0, 0, 2, 1
14, 2, 2, 0, 0, 2, 1
15, 2, 2, 0, 0, 2, 1
16, 2, 2, 0, 0, 2, 1
17, 2, 2, 0, 0, 2, 1
18, 2, 2, 0, 0, 2, 1
19, 2, 2, 0, 0, 2, 1
20, 2, 2, 0, 0, 2, 1
21, 2, 2, 0, 0, 2, 1
22, 2, 2, 0, 0, 2, 1
23, 2, 2, 0, 0, 2, 1
24, 2, 2, 0, 0, 2, 1
25, 2, 2, 0, 0, 2, 1
26, 2, 2, 0, 0, 2, 1
27, 2, 2, 0, 0, 2, 1
28, 2, 2, 0, 0, 2, 1
29, 2, 2, 0, 0, 2, 1
30, 2, 2, 0, 0, 2, 1
31, 2, 2, 0, 0, 2, 1
32, 2, 2, 0, 0, 2, 1
33, 2, 2, 0, 0, 2, 1
34, 2, 2, 0, 0, 2, 1
35, 3, 2, 0, 0, 2, 1
36, 2, 2, 0, 0, 2, 1
37, 2, 2, 0, 0, 2, 1
38, 2, 2, 0, 0, 2, 1
39, 2, 2, 0, 0, 2, 1
40, 2, 2, 0, 0, 2, 1
41, 2, 2, 0, 0, 2, 1
42, 2, 2, 0, 0, 2, 1
43, 2, 2, 0, 0, 2, 1
44, 2, 2, 0, 0, 2, 1
45, 2, 2, 0, 0, 2, 1
46, 2, 2, 0, 0, 2, 1
47, 2, 2, 0, 0, 2, 1
48, 2, 2, 0, 0, 2, 1
49, 2, 2, 0, 0, 2, 1
50, 50, 4, 0, 0, 4, 50
51, 52, 48, 43, 46, 5, 51
52, 53, 53, 49, 52, 5, 51
53, 53, 40, 35, 39, 5, 51
54, 54, 40, 35, 37, 5, 51
55, 55, 44, 35, 42, 5, 51
56, 56, 47, 41, 46, 5, 51
57, 57, 38, 32, 34, 5, 51
58, 58, 40, 35, 39, 5, 51
59, 59, 38, 33, 37, 5, 51
60, 60, 36, 31, 33, 5, 51
61, 61, 37, 27, 35, 5, 51
62, 29, 8, 1, 3, 5, 51
63, 63, 41, 33, 40, 5, 51
64, 58, 21, 16, 18, 5, 51
65, 65, 32, 26, 28, 5, 51
66, 66, 24, 14, 22, 5, 51
67, 67, 33, 27, 32, 5, 51
68, 68, 35, 28, 34, 5, 51
69, 69, 31, 26, 30, 5, 51
70, 70, 30, 25, 27, 5, 51
71, 71, 26, 18, 25, 5, 51
72, 72, 46, 32, 45, 5, 51
73, 73, 43, 25, 41, 5, 51
74, 74, 45, 29, 44, 5, 51
75, 75, 45, 24, 43, 5, 51
76, 72, 16, 5, 14, 5, 51
77, 77, 56, 43, 55, 5, 51
78, 78, 56, 49, 55, 5, 51
79, 79, 49, 34, 48, 5, 51
80, 75, 22, 5, 20, 5, 51
81, 81, 59, 47, 58, 5, 51
82, 82, 58, 47, 57, 5, 51
83, 83, 68, 53, 67, 5, 51
84, 84, 56, 42, 55, 5, 51
85, 85, 30, 26, 29, 5, 51
86, 86, 49, 39, 48, 5, 51
87, 87, 49, 37, 48, 5, 51
88, 88, 44, 28, 43, 5, 51
89, 89, 66, 54, 65, 5, 51
90, 90, 48, 31, 47, 5, 51
