Step, Total affected keys, Total marked keys, Relinearize keys, Relinearize affected keys, New factors affected keys, Depth
2, 3, 3, 0, 0, 3, 2
3, 2, 2, 0, 0, 2, 1
4, 3, 2, 0, 0, 2, 1
5, 2, 2, 0, 0, 2, 1
6, 2, 2, 0, 0, 2, 1
7, 2, 2, 0, 0, 2, 1
8, 2, 2, 0, 0, 2, 1
9, 2, 2, 0, 0, 2, 1
10, 2, 2, 0, 0, 2, 1
11, 2, 2, 0, 0, 2, 1
12, 2, 2, 0, 0, 2, 1
13, 2, 2, 0, 0, 2, 1
14, 2, 2, 0, 0, 2, 1
15, 2, 2, 0, 0, 2, 1
16, 2, 2, 0, 0, 2, 1
17, 2, 2, 0, 0, 2, 1
18, 2, 2, 0, 0, 2, 1
19, 20, 3, 0, 0, 3, 19
20, 21, 14, 10, 12, 4, 20
21, 22, 9, 2, 4, 5, 21
22, 23, 5, 0, 0, 5, 21
23, 24, 5, 0, 0, 5, 21
24, 25, 5, 0, 0, 5, 21
25, 26, 9, 2, 4, 5, 21
26, 27, 5, 0, 0, 5, 21
27, 28, 9, 4, 6, 5, 21
28, 29, 5, 0, 0, 5, 21
29, 30, 5, 0, 0, 5, 21
30, 31, 5, 0, 0, 5, 21
31, 32, 5, 0, 0, 5, 21
32, 33, 5, 0, 0, 5, 21
33, 34, 13, 6, 11, 5, 21
34, 35, 11, 1, 6, 5, 21
35, 36, 23, 4, 20, 5, 21
36, 37, 23, 4, 20, 5, 21
37, 38, 5, 0, 0, 5, 21
38, 39, 5, 0, 0, 5, 21
39, 40, 6, 0, 0, 6, 39
40, 41, 17, 4, 10, 7, 40
41, 42, 10, 2, 9, 8, 41
42, 43, 8, 0, 0, 8, 41
43, 44, 8, 0, 0, 8, 41
44, 45, 8, 0, 0, 8, 41
45, 46, 8, 1, 7, 8, 41
46, 47, 8, 0, 0, 8, 41
47, 48, 8, 0, 0, 8, 41
48, 49, 8, 0, 0, 8, 41
49, 50, 11, 1, 8, 8, 41
50, 51, 8, 0, 0, 8, 41
51, 52, 8, 0, 0, 8, 41
52, 53, 8, 0, 0, 8, 41
53, 54, 8, 0, 0, 8, 41
54, 55, 8, 0, 0, 8, 41
55, 56, 11, 1, 8, 8, 41
56, 57, 8, 0, 0, 8, 41
57, 58, 8, 0, 0, 8, 41
58, 59, 11, 1, 8, 8, 41
59, 60, 9, 1, 8, 9, 59
60, 61, 22, 2, 18, 10, 60
61, 5, 5, 0, 0, 5, 61
62, 2, 2, 0, 0, 2, 1
63, 2, 2, 0, 0, 2, 1
64, 2, 2, 0, 0, 2, 1
65, 2, 2, 0, 0, 2, 1
66, 2, 2, 0, 0, 2, 1
67, 2, 2, 0, 0, 2, 1
68, 2, 2, 0, 0, 2, 1
69, 2, 2, 0, 0, 2, 1
70, 2, 2, 0, 0, 2, 1
71, 2, 2, 0, 0, 2, 1
72, 2, 2, 0, 0, 2, 1
73, 2, 2, 0, 0, 2, 1
74, 2, 2, 0, 0, 2, 1
75, 2, 2, 0, 0, 2, 1
76, 2, 2, 0, 0, 2, 1
77, 2, 2, 0, 0, 2, 1
78, 2, 2, 0, 0, 2, 1
79, 2, 2, 0, 0, 2, 1
80, 2, 2, 0, 0, 2, 1
81, 2, 2, 0, 0, 2, 1
82, 2, 2, 0, 0, 2, 1
83, 2, 2, 0, 0, 2, 1
84, 20, 3, 0, 0, 3, 19
85, 22, 10, 5, 7, 5, 21
86, 22, 11, 6, 8, 3, 21
87, 2, 2, 0, 0, 2, 1
88, 2, 2, 0, 0, 2, 1
89, 2, 2, 0, 0, 2, 1
90, 2, 2, 0, 0, 2, 1
