width,height,count
114,553,1
240,607,1
408,421,1
90,541,1
240,571,1
114,547,1
126,577,1
132,577,1
162,637,1
138,565,2
126,529,6
126,595,1
384,397,1
96,517,1
108,541,1
120,559,1
126,547,1
108,553,1
372,385,2
174,565,1
222,583,1
234,559,1
246,535,1
228,547,1
102,541,1
246,571,1
108,547,1
120,523,8
210,589,1
258,493,1
264,505,2
186,529,2
210,631,1
192,595,1
132,601,1
114,517,2
126,541,3
120,529,2
144,583,1
174,571,1
162,547,3
216,553,1
222,601,1
240,517,1
210,577,2
156,547,3
222,559,1
204,523,3
252,565,1
228,517,5
174,517,1
162,541,2
210,523,5
198,547,4
192,559,3
162,559,1
168,571,3
150,565,3
132,529,2
234,541,1
240,553,2
264,481,1
240,529,1
216,577,1
102,535,2
138,583,1
228,553,2
258,487,1
210,583,2
150,535,5
126,553,1
210,571,4
192,553,1
162,565,1
186,517,2
114,529,1
120,517,5
204,535,3
210,553,2
198,595,1
228,535,2
180,559,1
168,535,4
222,523,6
186,583,1
156,523,12
126,535,5
216,541,4
204,565,1
222,529,2
204,571,2
192,547,2
198,559,3
72,469,1
84,493,4
132,535,2
138,523,7
114,535,2
156,577,1
180,529,3
168,553,1
132,541,4
144,565,1
228,559,1
246,523,1
168,583,1
156,559,2
168,517,8
162,529,4
174,595,1
150,547,3
144,559,3
240,535,1
258,499,2
234,547,1
216,583,1
96,553,1
102,517,2
108,529,3
420,433,1
114,541,2
126,517,6
156,535,2
126,523,6
234,529,1
186,565,1
174,541,2
168,529,4
180,553,1
162,517,7
240,595,1
210,535,6
204,553,5
234,517,1
252,553,1
348,361,13
108,517,1
132,517,6
246,547,1
342,355,9
192,535,4
222,517,1
198,565,1
210,541,2
174,529,1
168,541,3
174,523,1
186,547,2
366,379,8
114,523,4
126,559,1
120,547,2
108,523,4
204,589,2
240,565,1
228,541,1
216,523,4
144,523,7
132,547,3
210,547,5
246,619,2
198,523,4
84,505,3
66,469,3
6,349,5
210,529,2
192,565,1
216,517,4
180,547,1
174,535,2
168,547,2
378,391,1
174,559,1
162,523,4
234,403,1
